actorid;name;date_of_birth;birth_city;birth_country;height_inches;biography;gender;ethnicity;networth
878;Adam Hann-Byrd;1982-02-23;New York City;USA;70;Adam Hann-Byrd was born on February 23, 1982 in New York City, New York, USA. He is an actor and writer, best known for his work on Jumanji (1995), The Ice Storm (1997), Halloween H20: 20 Years Later (1998), and as the title character in Jodie Fosters directorial debut, Little Man Tate (1991).;Male;White;3000000
1129;Adam Sandler;1966-09-09;Brooklyn;USA;69;Adam Richard Sandler was born September 9, 1966 in Brooklyn, New York, to Judith (Levine), a teacher at a nursery school, and Stanley Alan Sandler, an electrical engineer. He is of Russian Jewish descent. At 17, he took his first step towards becoming a stand-up comedian when he spontaneously took the stage at a Boston comedy club. He found he was...;Male;White;420000000
2489;Adelaide Clemens;1989-11-30;Brisbane;Australia;69;Born and raised in Brisbane, Australia. Daughter of a British father. Clemens began working as an actress on Australian television while in high school. She guest-starred in a 2006 episode of Blue Water High as Juliet, and in 2007, she starred in the childrens series Pirate Islands: The Lost Treasure of Fiji as Alison. Clemens played Harper in ...;Female;White;4000000
820;Adewale Akinnuoye-Agbaje;1967-08-22;Islington;UK;74;Born and raised in London, England, Adewale Akinnuoye-Agbaje began his career as a model in Milan. He graduated with a masters degree in Law from Londons prestigious Kings College, before moving to Los Angeles to make the transition to acting. Fluent in several languages, including English, Italian, Yoruba and Swahili, he is best known for his ...;Male;African-American;3000000
1844;Adoni Maropis;1963-07-20;Pittsburgh;USA;69;Adoni has been blessed with the opportunity to play many diverse and memorable acting roles, such as: the lead villain, Fayed, in Season 6 of the Fox critically acclaimed hit series 24 (2001) with Kiefer Sutherland, the flamboyant evil sorcerer, Quan Chi, in the TV show Mortal Kombat: Conquest (1998), the regal falcon-man, Sakr, in the feature ...;Male;Greek;1700000
433;Adrian Dunbar;1958-08-01;Enniskillen;UK;61;Adrian Dunbar was born on August 1, 1958 in Enniskillen, Co. Fermanagh, Northern Ireland. He is an actor, known for The Crying Game (1992), Hear My Song (1991) and Line of Duty (2012). He has been married to Anna Nygh since 1986. They have one child.;Male;White;20000000
1951;Adrian Grenier;1976-07-10;Santa Fe;USA;61;Adrian Grenier was born on July 10, 1976 in Santa Fe, New Mexico, USA as Adrian Sean Grenier. He is an actor and producer, known for Entourage (2004), The Devil Wears Prada (2006) and Entourage (2015).;Male;White;12000000
1821;Adrian Rawlins;1958-03-27;Stoke-on-Trent;UK;69;Adrian Rawlins was born on March 27, 1958 in Stoke-on-Trent, Staffordshire, England. He is an actor, known for Harry Potter and the Deathly Hallows: Part 2 (2011), Harry Potter and the Goblet of Fire (2005) and Wilbur Wants to Kill Himself (2002).;Male;White;5000000
1809;Adrian Ricard;1924-08-07;New York City;USA;;Adrian Ricard was born on August 7, 1924 in the USA. She was an actress, known for I, Robot (2004), Bulworth (1998) and Simon Simon (1981). She died on December 29, 2016.;Female;White;5000000
2263;Adrian Scarborough;1968-05-10;Melton Mowbray;UK;64;Adrian Scarborough was born on May 10, 1968 in Melton Mowbray, Leicestershire, England as Adrian Philip Scarborough. He is an actor, known for Gosford Park (2001), Dirty Pretty Things (2002) and The History Boys (2006). He is married to Rose Blackshaw. They have two children.;Male;White;5000000
2193;Adriane Lenox;1956-09-11;Memphis;USA;65;Adriane Lenox was born on September 11, 1956 in Memphis, Tennessee, USA. She is an actress, known for Black Snake Moan (2006), Red Lights (2012) and The Blind Side (2009).;Female;African-American;19000000
1779;Adrien Brody;1973-04-14;Woodhaven;USA;73;Adrien Nicholas Brody was born in Woodhaven, Queens, New York, the only child of retired history professor Elliot Brody and Hungarian-born photographer Sylvia Plachy. He accompanied his mother on assignments for the Village Voice, and credits her with making him feel comfortable in front of the camera. Adrien attended the American Academy of ...;Male;White;10000000
2401;Aedin Mincks;2000-10-10;Georgia;USA;69;"The youngest of three children, Aedin was born in Georgia, October 10, 2000. Aedin got his start in acting at the age of 6, with a slew of commercial jobs including Orbit Gum, Verizon and Capital One as the Visigoth kid ""Garth Jr."", but quickly moved on to television and film thanks to his charming and fearless presence and no mess, no fuss ...";Male;White;5000000
246;Aeryk Egan;1978-08-15;New York City;USA;;Aeryk Egan is an actor, known for Flatliners (1990), Brooklyn Bridge (1991) and The Cure (1995).;Male;White;1200000
1326;Ahmed Best;1973-08-19;New York City;USA;73;Ahmed Best was born on August 19, 1973 in New York City, New York, USA. He is an actor and producer, known for Star Wars: Episode I - The Phantom Menace (1999), Star Wars: Episode II - Attack of the Clones (2002) and Star Wars: Episode III - Revenge of the Sith (2005).;Male;African-American;3000000
2334;Ahna OReilly;1984-09-21;Palo Alto;USA;65;Ahna OReilly was born on September 21, 1984 in Palo Alto, California, USA. She is an actress, known for The Help (2011), Forgetting Sarah Marshall (2008) and Fruitvale Station (2013).;Female;White;3000000
2109;Ahney Her;1992-07-13;Lansing;USA;63;Ahney Her was born in Lansing, Michigan, USA as Whitney Cua Her. She is an actress, known for Gran Torino (2008), Batman v Superman: Dawn of Justice (2016) and Night Club (2011).;Female;Asian;500000
723;Aidan Quinn;1959-03-08;Chicago;USA;72;Aidan Quinn was born on March 8, 1959 in Chicago, Illinois, USA as Aidan T. Quinn. He is an actor, known for Practical Magic (1998), Benny Joon (1993) and Flipped (2010). He has been married to Elizabeth Bracco since September 1, 1987. They have two children.;Male;White;12000000
1768;Al Gore;1948-03-31;Washington;USA;73;Al Gore was born on March 31, 1948 in Washington, District of Columbia, USA as Albert Arnold Gore Jr. He is an actor, known for An Inconvenient Truth (2006), An Inconvenient Sequel: Truth to Power (2017) and Futurama: Benders Big Score (2007). He has been married to Tipper Gore since May 19, 1970. They have four children.;Male;White;300000000
274;Al Pacino;1940-04-25;Manhattan;USA;67;"Alfredo James ""Al"" Pacino established himself as a film actor during one of cinemas most vibrant decades, the 1970s, and has become an enduring and iconic figure in the world of American movies. He was born April 25, 1940 in Manhattan, New York City, to Italian-American parents, Rose (nee Gerardi) and Sal Pacino. They divorced when he was young. ...";Male;White;120000000
2234;Alain Chabat;1958-11-24;Oran;France;69;Born in Oran, French Algeria in 1958, Alain Chabat moved with his family to Massy, a suburb of Paris, as the Algeria War came to an end in 1963 . in 1987 he started a comedy sketch group for television called Les Nuls which developed a cult following.His acting career led to four Cesar awards for films and a gig dubbing the character of Shrek for ...;Male;Algerian;94000000
1393;Alan Alda;1936-01-28;Manhattan;USA;74;Alan Alda was born on January 28, 1936 in Manhattan, New York City, New York, USA as Alphonso Joseph DAbruzzo. He is known for his work on M*A*S*H (1972), The Four Seasons (1981) and Crimes and Misdemeanors (1989). He has been married to Arlene Alda since March 15, 1957. They have three children.;Male;White;40000000
2138;Alan Arkin;1934-03-26;Brooklyn;USA;69;Alan Arkin is an Academy Award-winning American actor who is also an acclaimed director, producer, author, singer and composer. He was born Alan Wolf Arkin on March 26, 1934, in Brooklyn, New York. His family were Jewish emigrants from Russia and Germany. In 1946, the Arkins moved from Brooklyn to Los Angeles, California. His father, David I. Arkin...;Male;White;15000000
1468;Alan Cumming;1965-01-27;Aberfeldy;UK;61;Alan Cumming was born on January 27, 1965, in Aberfeldy, Scotland, to Mary (Darling), an insurance company secretary, and Alex Cumming. His family lived nearby in Dunkeld, where his father was a forester for Atholl Estate. The family (including his brother, Tom) moved to Fassfern near Fort William, before moving to the east coast of Scotland in ...;Male;White;5000000
1524;Alan Howard;1937-08-05;London;UK;72;Alan Howard was born on August 5, 1937 in London, England as Alan Mackenzie Howard. He was an actor, known for The Lord of the Rings: The Fellowship of the Ring (2001), The Cook, the Thief, His Wife Her Lover (1989) and A Perfect Spy (1987). He was married to Sally Beauman and Stephanie Hinchcliffe Davies. He died on February 14, 2015 in ...;Male;White;36000000
1515;Alan King;1927-12-26;New York City;USA;61;Alan King was born on December 26, 1927 in New York City, New York, USA as Irwin Alan Kniberg. He was an actor and producer, known for Casino (1995), Rush Hour 2 (2001) and Cats Eye (1985). He was married to Jeanette Sprung. He died on May 9, 2004 in Manhattan, New York City.;Male;White;10000000
405;Alan Rickman;1946-02-21;Hammersmith;UK;73;Alan Rickman was born on a council estate in Acton, West London, to Margaret Doreen Rose (Bartlett), of English and Welsh descent, and Bernard Rickman, of Irish descent, who worked at a factory. Alan Rickman had an older brother (David), a younger brother (Michael), and a younger sister (Sheila). When Alan was 8 years old, his father died. He ...;Male;White;16000000
2569;Alan Ritchson;1984-11-28;Grand Forks;USA;74;Alan Ritchson has carved a space for himself on both the large and small screens since he made the trek from a small town in Florida to Los Angeles. Alan Michael Ritchson was born in Grand Forks, North Dakota, to Vickie (Harrell), a high school teacher, and David Ritchson, a U.S. Air Force Chief Master Sergeant. He is of Czech, English, and German ...;Male;White;3000000
718;Alan Ruck;1956-07-01;Cleveland;USA;61;Alan Ruck was born on July 1, 1956 in Cleveland, Ohio, and has made over 100 appearances in films and television, and on stage. He is best known for his role as the friend of Matthew Broderick and hopeless hypochondriac Cameron Frye, in John Hughess Ferris Buellers Day Off (1986). During the 1980s he appeared in films such as Class (1983) with ...;Male;White;10000000
884;Alan Tall;1945-05-12;;;;Alan Tall is an actor, known for Braveheart (1995), Gunfight at the Joe Kaye Corral (1983) and The Gift (1991).;Male;White;
1593;Alan Tudyk;1971-03-16;El Paso;USA;61;Alan Tudyk was born in El Paso, Texas, and grew up in Plano, where he attended Plano Sr. High. In 1990, he went on to study drama at Lon Morris Jr. College. While there, he was awarded the Academic Excellence Award for Drama. He was also named Most Likely to Succeed and Sophomore Beau. During this time, Alan was also an active member of the Delta ...;Male;White;2000000
1715;Albert Brooks;1947-07-22;Beverly Hills;USA;61;Albert Brooks was born on July 22, 1947 in Beverly Hills, California, USA as Albert Lawrence Einstein. He is an actor and writer, known for Drive (2011), Broadcast News (1987) and Defending Your Life (1991). He has been married to Kimberly Shlain since March 15, 1997. They have two children.;Male;Jewish;30000000
1383;Albert Finney;1936-05-09;Salford;UK;69;The son of a Lancashire bookmaker, Albert Finney came to motion pictures via the theatre. In 1956, he won a scholarship to RADA where his fellow alumni included Peter OToole and Alan Bates. He joined the Birmingham Repertory where he excelled in plays by William Shakespeare. A member of the Royal Shakespeare Company, Finney understudied Laurence ...;Male;English;10000000
247;Alec Baldwin;1958-04-03;Massapequa;USA;61;Alec Baldwin is the oldest, and best-known, of the four Baldwin brothers in the acting business (the others are Stephen Baldwin, William Baldwin and Daniel Baldwin). Alexander Rae Baldwin III was born on April 3, 1958 in Massapequa, New York, the son of Carol Newcomb (nee Martineau) Baldwin and Alexander Rae Baldwin Jr., a high school teacher and ...;Male;White;60000000
1080;Alessandro Nivola;1972-06-28;Boston;USA;69;Alessandro Nivola was born on June 28, 1972 in Boston, Massachusetts, USA as Alessandro Antine Nivola. He is an actor and producer, known for Face/Off (1997), Jurassic Park III (2001) and American Hustle (2013). He has been married to Emily Mortimer since January 3, 2003. They have two children.;Male;Italian;3000000
197;Alex Bruhanski;1935-10-18;San Antonio;USA;;Alex Bruhanski is an actor, known for Bird on a Wire (1990), Look Whos Talking Too (1990) and The Possession (2012).;Male;White;700000
1330;Alex D. Linz;1989-01-03;Santa Barbara;USA;68;Alex D. Linz was born on January 3, 1989 in Santa Barbara, California, USA as Alexander David Linz. He is an actor, known for Home Alone 3 (1997), One Fine Day (1996) and Tarzan (1999).;Male;German;400000
170;Alex Hyde-White;1959-01-30;London;UK;71;London born, raised in SoCal in Palm Springs. PSHS Alum lettered in baseball, tennis and golf. Attended Georgetown University in Washington, DC for a year when he was 16. Became contract player at Universal Studios, as part of the last group to be under the long-term Hollywood contract. Played Broadway when he was 23. Starred in first film at the ...;Male;White;5000000
1076;Alex McArthur;1957-03-06;Telford;USA;73;Alex McArthur was born on March 6, 1957 in Telford, Pennsylvania, USA. He is an actor and cinematographer, known for Kiss the Girls (1997), Desert Hearts (1985) and Conspiracy Theory (1997).;Male;White;1500000
2294;Alexa Davalos;1982-05-28;Paris;France;68;Alexa Davalos was born in Paris, France, to American parents, Jeff Dunas, a photographer, and Elyssa Davalos, an actress. Her fathers family were Jewish immigrants (from Russia and Lithuania). After a quintessentially bohemian childhood that found her straddling New York, Paris, Italy and Los Angeles, Alexa Davalos headed to Manhattan. In the Big...;Female;American;4000000
1466;Alexa PenaVega;1988-08-27;Miami;USA;61;"Alexa Ellesse PenaVega (n�e Vega; born August 27, 1988) is an American actress and singer. She is known for her role as Carmen Cortez in the Spy Kids film series and Shilo Wallace in the film Repo! The Genetic Opera (2008). In 2009, she starred as the title character Ruby Gallagher in the ABC Family series Ruby The Rockits.";Female;Columbian;8000000
1717;Alexander Gould;1994-05-04;Los Angeles;USA;68;Gould was born and raised in Los Angeles, California. He began acting at the age of two and is perhaps best known for providing the voice of the title character of Disney/Pixars film Finding Nemo (2003) and starring as Shane Botwin on the Showtime dark comedy-drama series Weeds (2005). His on-camera credits include guest spots on the television ...;Male;American;4800000
763;Alexis Cruz;1974-09-29;The Bronx;USA;68;"Alexis Cruz (SAG-AFTRA) is a veteran actor, and writer-director-producer. He starred in the title role in HBOs Emmy winning ""P.O.W.E.R.: The Eddie Matos Story"", in ""The Old Man and the Sea"" opposite Anthony Quinn, in Larry McMurtrys ""The Streets of Laredo"" with Sam Shepard and Sissy Spacek, as well as ""Stargate"" with Kurt Russell and James ...";Male;Puerto Rico;87000000
939;Alfre Woodard;1952-11-08;Tulsa;USA;63;Alfre Woodard was born on November 8, 1952 in Tulsa, Oklahoma, the youngest of three children of Constance, a homemaker, and Marion H. Woodard, an interior designer. She was named by her godmother, who claimed she saw a vision of Alfres name written out in gold letters. A former high school cheerleader and track star, she got the acting bug after...;Female;African American;13000000
784;Alfred Molina;1953-05-24;London;UK;74;"Alfred Molina was born in 1953 in London, England. His mother, Giovanna (Bonelli), was an Italian-born cook and cleaner, and his father, Esteban Molina, was a Spanish-born waiter and chauffeur. He studied at the Guildhall School of Music and Drama, London. His stage work includes two major Royal National Theatre productions, Tennessee Williams ""...";Male;Italian-Spanish;8000000
1720;Ali Astin;1996-11-27;California;USA;64;Ali Astin was born on November 27, 1996 in California, USA as Alexandra Louise Astin. She is an actress, known for The Lord of the Rings: The Return of the King (2003), Bad Kids of Crestview Academy (2017) and Two Rings (2019).;Female;American;12000000
2089;Alice Braga;1983-04-15;S�o Paulo;Brazil;64;Alice Braga Moraes born April 15, 1983 is a Brazilian actress. She has appeared in several Brazilian films, most notably as Ang�lica in 2002s highly acclaimed City of God and as Karina in 2005s Lower City. She came to international prominence after appearing opposite Will Smith in I Am Legend (2007) and has since become a familiar face in ...;Female;Portuguese;2000000
830;Alicia Witt;1975-08-21;Worcester;USA;68;"Actor/singer songwriter Alicia Witt has had a nearly three-decade long career, starting with her film debut, in 1984, as ""Alia"" in David Lynchs science fiction classic, Dune (1984). Witt was born in Worcester, Massachusetts, to Diane (Pietro), a high school teacher, and Robert Witt, a photographer and science teacher. Her ancestry includes Irish, ...";Female;American;4000000
1742;Alima Ashton-Sheibu;1996;Sydney;Australia;;"Alima Ashton was born in Sydney, Australia in 1996. She began her acting career at the age of 5, appearing in various television commercials screened in America. She is best known for her role in The Matrix Reloaded"", acting as links niece. Alima also appeared in Marcia Hines film clip, ""Shower the People"" at the age of 7. Alima was last seen in...";Female;Australian;
2554;Alison Brie;1982-12-29;Los Angeles County;USA;63;Alison Brie was born in Hollywood, California, to Joanne (Brenner), who worked at a non-profit child care agency, and Charles Terry Schermerhorn, a musician and entertainment reporter. Her mother is Jewish and her father has Scottish, Dutch, English, German, and Norwegian ancestry. Brie grew up in the Los Angeles suburb of South Pasadena. ...;Female;White;10000000
143;Alison Doody;1966-11-11;Dublin;Ireland;69;Alison Doody was born in Dublin in 1966, in a well-off family. She is the youngest of three children. She was educated in a convent, where she gained a passion for the arts. She later studied at the National College of Fine Arts in Dublin, but left because she lacked the motivation and thought she would take a year off to think it out. Meanwhile, ...;Female;White;
59;Allelon Ruggiero;1971-03-05;Philadelphia;USA;70;;Male;White;
1260;Allen Covert;1964-10-13;Palm Beach County;USA;69;Allen Covert was born on October 13, 1964 in Palm Beach County, Florida, USA as Allen Stephen Covert. He is an actor and producer, known for Grandmas Boy (2006), 50 First Dates (2004) and Little Nicky (2000). He is married to Kathryn Ashley Hagstrom. They have one child.;Male;White;10000000
1442;Allen Payne;1968-07-07;Harlem;USA;61;Allen Payne was born on July 7, 1968 in Harlem, New York City, New York, USA. He is an actor, known for New Jack City (1991), The Perfect Storm (2000) and Vampire in Brooklyn (1995).;Male;African-American;5000000
1254;Allison Janney;1959-11-19;Dayton;USA;72;"Allison Janney is an award-winning actress who has earned a solid reputation in stage productions and in many supporting roles on screen, and who more recently has become prominent by portraying one of the major characters in the popular TV series The West Wing (1999). Entertainment Weekly magazine describes Janneys screen presence as ""uncommonly ...";Female;White;14000000
2045;Allison Karman;1970-01-01;;;;Allison Karman is an actress and producer, known for Alvin and the Chipmunks (2007), The Fall of 1980 (2013) and Redbelt (2008).;Female;White;1000000
1533;Alun Armstrong;1946-07-17;Annfield Plain;UK;61;Alun Armstrong was born on July 17, 1946 in Annfield Plain, County Durham, England as Robert Alun Armstrong. He is an actor, known for Krull (1983), The Mummy Returns (2001) and Sleepy Hollow (1999). He has been married to Susan J. Bairstow since 1977. They have three children.;Male;English;84000000
17;Alvin M. Sugarman;1985-01-29;Atlanta;USA;;Alvin M. Sugarman is known for Driving Miss Daisy (1989) and Shared Legacies (2020).;Male;White;
1245;Alyson Hannigan;1974-03-24;Washington;USA;64;Alyson Hannigan was born in Washington, D.C., to Emilie (Posner), a real estate agent, and Al Hannigan, a truck driver. She began her acting career in Atlanta at the young age of 4 in commercials sponsoring such companies as McDonalds, Six Flags, and Oreos. She is a seasoned television actress veteran, guest starring in Picket Fences (1992), ...;Female;White;40000000
1679;Alyson Stoner;1993-08-11;Toledo;USA;64;"Alyson Stoner got her start as a triple threat on the Disney Channel, co-hosting ""Mikes Super Short Show"". By age seven, she won the hearts of an older generation as the ""Little Pigtailed Dancer"" in Missy Elliotts music video, Missy Elliott: Work It (2002). Since her early reign, Alyson has become a powerhouse heavy-weight with blockbuster ...";Female;White;1500000
1883;Amanda Bynes;1986-04-03;Thousand Oaks;USA;68;Amanda Laura Bynes was born on April 3, 1986, in Thousand Oaks, California, the youngest of three children of Lynn (Organ), a dental assistant, and Richard Bynes, a dentist. Her father is of Lithuanian, Irish, and Polish descent, and her mother is from an Ashkenazi Jewish family from Toronto. Amanda became interested in acting and performing from ...;Female;White;3000000
1050;Amanda Donohoe;1962-06-29;London;UK;68;Award winning Actor Amanda Donohoe trained at the Royal Central school of Speech and Drama. In a career spanning more than 30 years she has appeared in a variety of productions on Stage, Screen and Television in the UK and USA. She won a Golden Globe for her role in the multi award winning TV series LA LAW, co-starred in the Oscar winning film The...;Female;White;17000000
2556;Amanda Farinos;;New York City;USA;;Amanda Farinos is known for her work on The Lego Movie (2014), The Legend of Tarzan (2016) and Victor Frankenstein (2015).;Female;White;
1704;Amanda Peet;1972-01-11;New York City;USA;66;Amanda Peet was born and raised in New York City. She is the daughter of Penny (Levy), a social worker, and Charles Peet, a lawyer, and has an older sister. Her father was of mostly English and German ancestry, and her mother was from a Jewish family (from Germany, Russia, and Hungary). Peets great-grandfathers were politician Samuel Levy and ...;Female;White;100000000
684;Amanda Plummer;1957-03-23;New York City;USA;64;The daughter of Canadian actor Christopher Plummer and American actress Tammy Grimes, Amanda Plummer was born in New York City on March 23, 1957. Her breakthrough role came when she starred opposite Robin Williams in The Fisher King (1991). However, Plummer may be best remembered for her work in the Quentin Tarantino classic Pulp Fiction (1994). ...;Female;American-Canadian;5000000
2123;Amanda Seyfried;1985-12-03;Allentown;USA;62;Amanda Seyfried was born and raised in Allentown, Pennsylvania, to Ann (Sander), an occupational therapist, and Jack Seyfried, a pharmacist. She is of German, and some English and Scottish, ancestry. She began modeling when she was eleven, and acted in high school productions as well as taking singing lessons. More soap work followed as she ...;Female;Mixed;12000000
1690;Amaury Nolasco;1970-12-24;San Juan;Puerto Rico;61;Amaury Nolasco was born on December 24, 1970 in Puerto Rico as Amaury Nolasco Garrido. He is an actor and producer, known for Prison Break (2005), Transformers (2007) and A Good Day to Die Hard (2013).;Male;Puerto Rican;2000000
414;Amber Scott;1984-10-10;;USA;63;Amber Scott was born on October 10, 1984 in the USA. She is an actress, known for Hook (1991), Cannonball (2019) and American Experience (1988).;Female;White;400000
2541;Amber Stevens West;1986-10-07;Los Angeles;USA;69;Stevens was born in Los Angeles, California. She is the daughter of actor and radio announcer Shadoe Stevens, and former model Beverly Cunningham. She has a younger sister named Chyna Stevens (Chyna Rose Stevens). She is a graduate of Beverly Hills High School. Her father is Caucasian (of Norwegian, German, English, and Dutch descent) and her ...;Female;African-American;3000000
1581;Amber Tamblyn;1983-05-14;Santa Monica;USA;67;"Amber Rose Tamblyn was born May 14, 1983 in Santa Monica, California. Amber caught an agents eye at the age of ten after a performance in ""Pippi Longstocking"". She has appeared in Live Nude Girls (1995) and Johnny Mysto: Boy Wizard (1997). In addition, her most popular role has been the role of ""Emily Bowen-Quartermaine"" of the popular soap ...";Female;White;3000000
1872;Amber Valletta;1974-02-09;Phoenix;USA;69;Amber Valletta was born in Phoenix, Arizona, USA as Amber Evangeline Valletta. She is an actress, producer and model. She began her career as a fashion model. Valletta was married to Olympic volleyball player Chip McCaw with whom she has a son, Auden. Valletta endorsed Democrat President Barack Obama for re-election in 2012. In July 2014, Valletta...;Female;White;16000000
2310;America Ferrera;1984-04-18;Los Angeles;USA;61;America Georgine Ferrera (born April 18, 1984) is an American actress. She is known for her leading role as Betty Suarez on the American Broadcasting Companys comedy-drama television series Ugly Betty (2006-10). Her acting garnered critical acclaim, and she won the Golden Globe Award for Best Actress - Television Series Musical or Comedy, the ...;Female;Hispanic;16000000
2485;Amitabh Bachchan;1942-10-11;Allahabad;India;72;Son of well known poet Harivansh Rai Bachchan and Teji Bachchan. He has a brother named Ajitabh. He completed his education from Uttar Pradesh and moved to Bombay to find work as a film star, in vain though, as film-makers preferred someone with a fairer skin, and he was not quite fair enough. But they did use one of his other assets, his deep ...;Male;Indian;400000000
1975;Amy Adams;1974-08-20;Vicenza;Italy;64;Amy Lou Adams was born in Vicenza, Veneto, Italy, to American parents, Kathryn (Hicken) and Richard Kent Adams, a U.S. serviceman who was stationed at Caserma Ederle in Italy at the time. She was raised in a Mormon family of seven children in Castle Rock, Colorado, and has English, as well as smaller amounts of Danish, Swiss-German, and Norwegian,...;Female;White;60000000
1783;Amy Hill;1953-05-09;Deadwood;USA;68;"Amy Hills television and film credits number over 168. She is recurring on ""Crazy Ex Girlfriend"", ""UnReal"", ""Preacher"" and ""MOM"". Shes a regular on Amazon Primes ""Just Add Magic"" which is streaming the first, second and season 2 part 2. As a voice actor, shes been heard as recurring characters on numerous shows including American Dad, Lilo and...";Female;Japanese;3000000
29;Amy Madigan;1950-09-11;Chicago;USA;66;In the 1960s, Amy attended St. Philip Neri grammar school and Aquinas High School, both in Chicago, where she performed in school plays and was known as the school tomboy. In the early 1970s, Amy was featured in Playboy Magazine wearing only jelly, to promote her music band, Jelly. Amy is the daughter of John Madigan, a media personality in Chicago, Illinois.;Female;White;25000000
103;Amy ONeill;1971-07-08;Los Angeles;USA;67;Former actress most known for her performance in The Young and the Restless and Honey, I Shrunk the Kids;Female;White;10000000
2142;Amy Poehler;1971-09-16;Burlington;USA;62;Amy Meredith Poehler was born in Newton, Massachusetts, to high school teachers Eileen Frances (Milmore) and William Grinstead Poehler. Her brother is comedian Greg Poehler. She is of Irish (from her mother) and English, Irish, German, and Portuguese (from her father) descent. Amy was first involved with sketch comedy when she joined the group My ...;Female;White;25000000
1927;Amy Sedaris;1961-03-29;Endicott;USA;61;Amy Sedaris was born on March 29, 1961 in Endicott, New York, USA as Amy Louise Sedaris. She is an actress and writer, known for Strangers with Candy (1999), Puss in Boots (2011) and Elf (2003).;Female;White;12000000
2494;Amy Warren;1968-02-24;;Ireland;61.5;Amy Warren is an actress, known for Gravity (2013), Mistress America (2015) and Law Order (1990). She has been married to Bryn Magnus since December 21, 2001.;Female;White;14000000
171;Amy Yasbeck;1962-09-12;Cincinnati;USA;65;Amy Yasbeck was born on September 12, 1962 in Cincinnati, Ohio, USA as Amy Marie Yasbeck. She is an actress, known for The Mask (1994), Robin Hood: Men in Tights (1993) and Pretty Woman (1990). She was previously married to John Ritter.;Female;White;16000000
572;Andie MacDowell;1958-04-21;Gaffney;USA;68;Andie MacDowell was born Rosalie Anderson MacDowell on April 21, 1958 in Gaffney, South Carolina, to Pauline Johnston (Oswald), a music teacher, and Marion St. Pierre MacDowell, a lumber executive. She was enrolled at Winthrop College located in Rock Hill, South Carolina. Initially discovered by a rep from Wilhelmina Models while on a trip to Los ...;Male;White;25000000
